date,product_id,product_name,category,sales,is_weekend,is_holiday,holiday_name,is_black_friday,is_diwali_season,is_bulk_order,supplier_disruption,disruption_type,disruption_severity,demand_spike,demand_spike_reason,competitor_stockout,price_event,lead_time_days,supply_available,uncertainty
2025-01-01,P1,iPhone 14,Electronics,112,0,1,2025-01-01,0,0,0,0,,0.0,0,,0,1,6,1.0,0.0
2025-01-02,P1,iPhone 14,Electronics,270,0,0,,0,0,0,0,,0.0,0,,0,1,8,1.0,0.583
2025-01-03,P1,iPhone 14,Electronics,271,0,0,,0,0,0,0,,0.0,0,,0,0,9,1.0,0.4193
2025-01-04,P1,iPhone 14,Electronics,184,1,0,,0,0,0,0,,0.0,0,,0,0,9,1.0,0.3658
2025-01-05,P1,iPhone 14,Electronics,152,1,0,,0,0,0,0,,0.0,0,,0,0,9,1.0,0.3588
2025-01-06,P1,iPhone 14,Electronics,369,0,0,,0,0,1,0,,0.0,0,,0,0,9,1.0,0.4164
2025-01-07,P1,iPhone 14,Electronics,240,0,0,,0,0,0,0,,0.0,0,,0,0,8,1.0,0.3776
2025-01-08,P1,iPhone 14,Electronics,254,0,0,,0,0,0,0,,0.0,0,,0,0,7,1.0,0.2795
2025-01-09,P1,iPhone 14,Electronics,266,0,0,,0,0,0,0,,0.0,0,,0,0,7,1.0,0.2794
2025-01-10,P1,iPhone 14,Electronics,273,0,0,,0,0,0,0,,0.0,0,,0,0,8,1.0,0.2795
2025-01-11,P1,iPhone 14,Electronics,157,1,0,,0,0,0,0,,0.0,0,,0,0,5,1.0,0.3025
2025-01-12,P1,iPhone 14,Electronics,151,1,0,,0,0,0,0,,0.0,0,,0,0,5,1.0,0.3043
2025-01-13,P1,iPhone 14,Electronics,234,0,0,,0,0,0,0,,0.0,0,,0,0,9,1.0,0.2234
2025-01-14,P1,iPhone 14,Electronics,102,0,1,2025-01-14,0,0,0,0,,0.0,0,,0,0,7,1.0,0.3291
2025-01-15,P1,iPhone 14,Electronics,298,0,0,,0,0,0,0,,0.0,0,,0,0,5,1.0,0.3522
2025-01-16,P1,iPhone 14,Electronics,268,0,0,,0,0,0,0,,0.0,0,,0,0,7,1.0,0.3528
2025-01-17,P1,iPhone 14,Electronics,270,0,0,,0,0,0,0,,0.0,0,,0,0,8,1.0,0.3517
2025-01-18,P1,iPhone 14,Electronics,183,1,0,,0,0,0,0,,0.0,0,,0,0,8,1.0,0.334
2025-01-19,P1,iPhone 14,Electronics,148,1,0,,0,0,0,0,,0.0,0,,0,0,9,1.0,0.3361
2025-01-20,P1,iPhone 14,Electronics,231,0,0,,0,0,0,0,,0.0,0,,0,0,6,1.0,0.3362
2025-01-21,P1,iPhone 14,Electronics,244,0,0,,0,0,0,0,,0.0,0,,0,0,8,1.0,0.2234
2025-01-22,P1,iPhone 14,Electronics,255,0,0,,0,0,0,0,,0.0,0,,0,0,8,1.0,0.2008
2025-01-23,P1,iPhone 14,Electronics,271,0,0,,0,0,0,0,,0.0,0,,0,0,6,1.0,0.2027
2025-01-24,P1,iPhone 14,Electronics,271,0,0,,0,0,0,0,,0.0,0,,0,0,6,1.0,0.2031
2025-01-25,P1,iPhone 14,Electronics,164,1,0,,0,0,0,0,,0.0,0,,0,0,8,1.0,0.2218
2025-01-26,P1,iPhone 14,Electronics,74,1,1,2025-01-26,0,0,0,0,,0.0,0,,0,0,7,1.0,0.3347
2025-01-27,P1,iPhone 14,Electronics,281,0,0,,0,0,0,0,,0.0,0,,0,0,5,1.0,0.3422
2025-01-28,P1,iPhone 14,Electronics,242,0,0,,0,0,0,0,,0.0,0,,0,0,5,1.0,0.3423
2025-01-29,P1,iPhone 14,Electronics,255,0,0,,0,0,0,0,,0.0,0,,0,0,5,1.0,0.3423
2025-01-30,P1,iPhone 14,Electronics,272,0,0,,0,0,0,0,,0.0,0,,0,0,9,1.0,0.3426
2025-01-31,P1,iPhone 14,Electronics,496,0,0,,0,0,0,0,,0.0,1,viral_social_trend,0,0,8,1.0,0.5061
2025-02-01,P1,iPhone 14,Electronics,324,1,0,,0,0,0,0,,0.0,1,viral_social_trend,0,0,9,1.0,0.4474
2025-02-02,P1,iPhone 14,Electronics,276,1,0,,0,0,0,0,,0.0,1,viral_social_trend,0,0,7,1.0,0.2845
2025-02-03,P1,iPhone 14,Electronics,369,0,0,,0,0,1,0,,0.0,0,,0,0,6,1.0,0.2795
2025-02-04,P1,iPhone 14,Electronics,246,0,0,,0,0,0,0,,0.0,0,,0,0,7,1.0,0.2777
2025-02-05,P1,iPhone 14,Electronics,255,0,0,,0,0,0,0,,0.0,0,,0,0,9,1.0,0.2777
2025-02-06,P1,iPhone 14,Electronics,276,0,0,,0,0,0,0,,0.0,0,,0,0,5,1.0,0.2763
2025-02-07,P1,iPhone 14,Electronics,273,0,0,,0,0,0,0,,0.0,0,,0,0,6,1.0,0.15
2025-02-08,P1,iPhone 14,Electronics,161,1,0,,0,0,0,0,,0.0,0,,0,0,6,1.0,0.2306
2025-02-09,P1,iPhone 14,Electronics,165,1,0,,0,0,0,0,,0.0,0,,0,0,9,1.0,0.2862
2025-02-10,P1,iPhone 14,Electronics,243,0,0,,0,0,0,0,,0.0,0,,0,0,5,1.0,0.2086
2025-02-11,P1,iPhone 14,Electronics,246,0,0,,0,0,0,0,,0.0,0,,0,0,5,1.0,0.2086
2025-02-12,P1,iPhone 14,Electronics,261,0,0,,0,0,0,0,,0.0,0,,0,0,6,1.0,0.21
2025-02-13,P1,iPhone 14,Electronics,276,0,0,,0,0,0,0,,0.0,0,,0,0,5,1.0,0.2102
2025-02-14,P1,iPhone 14,Electronics,277,0,0,,0,0,0,0,,0.0,0,,0,0,7,1.0,0.2118
2025-02-15,P1,iPhone 14,Electronics,177,1,0,,0,0,0,1,port_congestion,0.6,0,,0,0,15,0.59,0.1943
2025-02-16,P1,iPhone 14,Electronics,172,1,0,,0,0,0,1,port_congestion,0.6,0,,0,0,14,0.45,0.1858
2025-02-17,P1,iPhone 14,Electronics,246,0,0,,0,0,0,1,port_congestion,0.6,0,,0,0,13,0.69,0.1858
2025-02-18,P1,iPhone 14,Electronics,248,0,0,,0,0,0,1,port_congestion,0.6,0,,0,0,16,0.7,0.186
2025-02-19,P1,iPhone 14,Electronics,258,0,0,,0,0,0,1,port_congestion,0.6,0,,0,0,17,0.46,0.1852
2025-02-20,P1,iPhone 14,Electronics,280,0,0,,0,0,0,1,port_congestion,0.6,0,,0,0,17,0.4,0.1873
2025-02-21,P1,iPhone 14,Electronics,282,0,0,,0,0,0,1,port_congestion,0.6,0,,0,0,17,0.52,0.1901
2025-02-22,P1,iPhone 14,Electronics,188,1,0,,0,0,0,1,port_congestion,0.6,0,,0,0,13,0.45,0.1793
2025-02-23,P1,iPhone 14,Electronics,160,1,0,,0,0,0,1,port_congestion,0.6,0,,0,0,13,0.64,0.1941
2025-02-24,P1,iPhone 14,Electronics,248,0,0,,0,0,0,1,port_congestion,0.6,0,,0,0,17,0.41,0.1942
2025-02-25,P1,iPhone 14,Electronics,252,0,0,,0,0,0,1,port_congestion,0.6,0,,0,0,13,0.64,0.1944
2025-02-26,P1,iPhone 14,Electronics,262,0,0,,0,0,0,0,,0.0,0,,0,0,5,1.0,0.1954
2025-02-27,P1,iPhone 14,Electronics,280,0,0,,0,0,0,0,,0.0,0,,0,0,6,1.0,0.1954
2025-02-28,P1,iPhone 14,Electronics,286,0,0,,0,0,0,0,,0.0,0,,0,0,8,1.0,0.1976
2025-03-01,P1,iPhone 14,Electronics,174,1,0,,0,0,0,0,,0.0,0,,0,0,6,1.0,0.2109
